"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Tray Location","Time In Tray","Sample Time","Operator",
11/1/2024  11:52:14,E37BRX02 D15,Default,0.30,2.74,8.63,0.07,5.67,99.8,9.80,0.21,7.071,143.9,,315,,,,37.0,0.0,20.9,1:1,7.071,,143.9,97.5,,,7.33,3.28,,,11/1/2024  11:52:14,Flex2admin,
11/12/2024  16:21:02,E38D01BRX01,Default,0.41,1.97,5.89,0.27,1.43,102.9,7.95,0.21,7.205,149.1,,278,,,,37.0,0.0,20.9,1:1,7.205,,149.1,100.0,,,7.45,3.42,,,11/12/2024  16:21:02,Flex2admin,
11/12/2024  16:28:02,E38D01BRX02,Default,0.46,2.03,5.97,0.37,1.37,97.3,7.30,0.19,7.346,153.9,,284,,,,37.0,0.0,20.9,1:1,7.346,,153.9,100.0,,,7.18,3.17,,,11/12/2024  16:28:02,Flex2admin,
11/12/2024  16:32:32,E38D01BRX03,Default,0.46,1.93,5.90,0.32,1.33,94.2,7.12,0.20,7.056,144.0,,281,,,,37.0,0.0,20.9,1:1,7.056,,144.0,96.5,,,7.21,3.30,,,11/12/2024  16:32:32,Flex2admin,
11/12/2024  16:35:37,E38D01BRX04,Default,0.44,2.00,5.84,0.34,1.35,94.3,7.03,0.19,7.305,155.0,,280,,,,37.0,0.0,20.9,1:1,7.305,,155.0,100.0,,,7.45,3.38,,,11/12/2024  16:35:37,Flex2admin,
11/12/2024  16:56:17,E39D01SF-1,Default,0.52,1.91,5.90,0.42,1.43,96.2,7.00,0.20,7.262,163.7,,284,,,,37.0,0.0,20.9,1:1,7.262,,163.7,100.0,,,7.54,3.73,9,0:12,11/12/2024  16:56:17,Flex2admin,
11/12/2024  16:59:14,E39D01SF-2,Default,0.49,1.82,5.56,0.61,1.63,97.1,6.75,0.21,7.191,159.3,,287,,,,37.0,0.0,20.9,1:1,7.191,,159.3,100.0,,,7.43,3.68,10,3:02,11/12/2024  16:59:14,Flex2admin,
11/12/2024  17:02:11,E39D01SF-3,Default,0.48,1.82,5.53,0.61,1.64,97.0,6.73,0.21,7.209,159.4,,286,,,,37.0,0.0,20.9,1:1,7.209,,159.4,100.0,,,7.36,3.75,11,5:59,11/12/2024  17:02:11,Flex2admin,
11/12/2024  17:05:13,E39D01SF-4,Default,0.50,1.80,5.56,0.61,1.65,99.9,6.87,0.22,7.223,162.8,,288,,,,37.0,0.0,20.9,1:1,7.223,,162.8,100.0,,,7.45,3.69,12,9:01,11/12/2024  17:05:13,Flex2admin,
11/12/2024  17:08:15,E39D01SF-5,Default,0.49,1.89,5.88,0.40,1.40,95.9,7.02,0.20,7.314,173.9,,287,,,,37.0,0.0,20.9,1:1,7.314,,173.9,100.0,,,7.31,3.78,13,12:02,11/12/2024  17:08:15,Flex2admin,
11/12/2024  17:11:17,E39D01SF-6,Default,0.48,1.90,5.93,0.42,1.42,96.5,7.06,0.20,7.319,172.1,,287,,,,37.0,0.0,20.9,1:1,7.319,,172.1,100.0,,,7.28,3.82,14,15:04,11/12/2024  17:11:17,Flex2admin,
11/12/2024  17:14:14,E39D01SF-7,Default,0.50,1.83,5.61,0.61,1.63,99.1,6.87,0.21,7.257,170.4,,286,,,,37.0,0.0,20.9,1:1,7.257,,170.4,100.0,,,7.41,3.83,15,18:01,11/12/2024  17:14:14,Flex2admin,
11/12/2024  17:17:06,E39D01SF-8,Default,0.47,1.87,5.56,0.62,1.66,100.3,6.92,0.22,7.267,171.2,,289,,,,37.0,0.0,20.9,1:1,7.267,,171.2,100.0,,,7.23,3.74,16,20:52,11/12/2024  17:17:06,Flex2admin,
11/12/2024  17:20:03,E39D01SF-9,Default,0.47,1.90,5.95,0.41,1.41,96.7,7.09,0.20,7.364,180.9,,286,,,,37.0,0.0,20.9,1:1,7.364,,180.9,100.0,,,7.43,3.81,17,23:49,11/12/2024  17:20:03,Flex2admin,
11/12/2024  17:23:00,E39D01SF-10,Default,0.47,1.91,5.61,0.63,1.65,99.4,6.90,0.21,7.288,173.2,,289,,,,37.0,0.0,20.9,1:1,7.288,,173.2,100.0,,,7.21,3.82,18,26:46,11/12/2024  17:23:00,Flex2admin,
11/12/2024  17:26:01,E39D01SF-11,Default,0.50,1.84,5.56,0.63,1.64,99.4,6.84,0.21,7.295,172.9,,289,,,,37.0,0.0,20.9,1:1,7.295,,172.9,100.0,,,7.23,3.83,19,29:46,11/12/2024  17:26:01,Flex2admin,
11/12/2024  17:28:58,E39D01SF-12,Default,0.52,1.79,5.65,0.63,1.65,99.7,6.91,0.21,7.306,174.4,,289,,,,37.0,0.0,20.9,1:1,7.306,,174.4,100.0,,,7.40,3.83,20,32:43,11/12/2024  17:28:58,Flex2admin,
11/12/2024  17:32:00,E39D01SF-13,Default,0.52,1.82,5.64,0.63,1.68,100.4,6.92,0.22,7.316,174.4,,291,,,,37.0,0.0,20.9,1:1,7.316,,174.4,100.0,,,7.39,3.73,21,35:45,11/12/2024  17:32:00,Flex2admin,
11/12/2024  17:34:57,E39D01SF-14,Default,0.47,1.93,5.96,0.45,1.46,98.2,7.16,0.20,7.401,181.7,,285,,,,37.0,0.0,20.9,1:1,7.401,,181.7,100.0,,,7.49,3.75,22,38:41,11/12/2024  17:34:57,Flex2admin,
11/12/2024  17:37:54,E39D01SF-15,Default,0.48,1.90,5.96,0.43,1.43,97.1,7.12,0.20,7.422,184.5,,290,,,,37.0,0.0,20.9,1:1,7.422,,184.5,100.0,,,7.38,3.74,23,41:38,11/12/2024  17:37:54,Flex2admin,
11/12/2024  17:40:50,E39D01SF-16,Default,0.48,1.90,5.99,0.42,1.41,97.9,7.17,0.20,7.426,183.7,,287,,,,37.0,0.0,20.9,1:1,7.426,,183.7,100.0,,,7.17,3.78,24,44:19,11/12/2024  17:40:50,Flex2admin,
11/12/2024  17:43:41,E39D01SF-17,Default,0.46,1.94,5.98,0.44,1.47,99.5,7.23,0.20,7.431,182.7,,294,,,,37.0,0.0,20.9,1:1,7.431,,182.7,100.0,,,7.33,3.73,1,47:07,11/12/2024  17:43:41,Flex2admin,
11/13/2024  10:48:54,pH 7 buffer 400 ul,Default,,,,,,,,,6.753,191.8,,113,,,,37.0,0.0,20.9,,6.753,,191.8,100.0,,,,3.92,4,0:34,11/13/2024  10:48:54,Flex2admin,
11/13/2024  10:51:52,pH 7 buffer 600 ul,Default,0.08,0.00,0.00,0.02,0.28,57.1,22.13,0.04,6.648,187.2,,113,,,,37.0,0.0,20.9,1:1,6.648,,187.2,100.0,,,7.31,3.88,5,3:05,11/13/2024  10:51:52,Flex2admin,
11/13/2024  10:55:51,pH 7 buffer 400 ul,Default,0.11,0.00,0.00,0.03,0.30,56.2,22.01,0.04,6.582,192.9,,113,,,,37.0,0.0,20.9,1:1,6.582,,192.9,100.0,,,7.18,3.96,8,0:04,11/13/2024  10:55:51,Flex2admin,
11/13/2024  14:55:35,E38D02BRX01,Default,0.55,2.01,5.72,0.43,1.74,94.8,7.63,0.19,7.016,133.4,,283,,,,37.0,0.0,20.9,1:1,7.016,,133.4,90.6,,,7.59,3.53,,,11/13/2024  14:55:35,Flex2admin,
11/13/2024  14:58:56,E38D02BRX02,Default,0.51,2.07,5.37,0.81,1.84,95.5,7.17,0.19,7.099,122.1,,286,,,,37.0,0.0,20.9,1:1,7.099,,122.1,82.9,,,7.59,3.33,,,11/13/2024  14:58:56,Flex2admin,
11/13/2024  15:02:16,E38D02BRX03,Default,0.48,1.93,5.55,0.50,1.71,93.6,6.99,0.20,6.850,115.8,,283,,,,37.0,0.0,20.9,1:1,6.850,,115.8,78.6,,,7.60,3.27,,,11/13/2024  15:02:16,Flex2admin,
11/13/2024  15:05:39,E38D02BRX04,Default,0.52,2.13,5.36,0.75,1.94,96.0,7.02,0.19,7.107,131.3,,281,,,,37.0,0.0,20.9,1:1,7.107,,131.3,89.1,,,7.63,3.54,,,11/13/2024  15:05:39,Flex2admin,
11/13/2024  15:30:51,E39D02SF-1,Default,0.55,2.07,5.21,0.82,2.01,97.5,10.12,0.21,,,,304,,,,37.0,0.0,20.9,1:1,,,,,,,7.63,,11,0:26,11/13/2024  15:30:51,Flex2admin,
11/13/2024  15:33:47,E39D02SF-2,Default,0.55,1.97,4.67,1.09,2.26,98.3,9.32,0.22,,,,284,,,,37.0,0.0,20.9,1:1,,,,,,,7.72,,12,3:17,11/13/2024  15:33:47,Flex2admin,
11/13/2024  15:36:38,E39D02SF-3,Default,0.55,1.97,4.70,1.10,2.27,100.1,8.18,0.22,,,,285,,,,37.0,0.0,20.9,1:1,,,,,,,7.39,,13,6:06,11/13/2024  15:36:38,Flex2admin,
11/13/2024  15:39:28,E39D02SF-4,Default,0.54,1.96,4.66,1.10,2.25,98.6,7.94,0.22,,,,285,,,,37.0,0.0,20.9,1:1,,,,,,,7.59,,14,8:56,11/13/2024  15:39:28,Flex2admin,
11/13/2024  15:42:24,E39D02SF-5,Default,0.52,2.00,5.24,0.80,1.96,96.7,8.29,0.20,,,,284,,,,37.0,0.0,20.9,1:1,,,,,,,7.32,,15,11:51,11/13/2024  15:42:24,Flex2admin,
11/13/2024  15:45:15,E39D02SF-6,Default,0.52,2.02,5.30,0.81,1.96,96.9,8.00,0.20,,,,288,,,,37.0,0.0,20.9,1:1,,,,,,,7.56,,16,14:40,11/13/2024  15:45:15,Flex2admin,
11/13/2024  15:48:10,E39D02SF-7,Default,0.55,1.94,4.66,1.11,2.26,98.9,8.07,0.22,,,,287,,,,37.0,0.0,20.9,1:1,,,,,,,7.64,,17,17:36,11/13/2024  15:48:10,Flex2admin,
11/13/2024  15:51:13,E39D02SF-8,Default,0.56,1.97,4.74,1.10,2.28,100.0,8.30,0.22,,,,286,,,,37.0,0.0,20.9,1:1,,,,,,,7.52,,18,20:38,11/13/2024  15:51:13,Flex2admin,
11/13/2024  15:54:09,E39D02SF-9,Default,0.52,2.03,5.33,0.80,1.97,97.3,8.82,0.20,,,,290,,,,37.0,0.0,20.9,1:1,,,,,,,7.57,,19,23:33,11/13/2024  15:54:09,Flex2admin,
11/13/2024  15:57:05,E39D02SF-10,Default,0.55,1.97,4.79,1.07,2.24,100.6,7.44,0.22,,,,287,,,,37.0,0.0,20.9,1:1,,,,,,,7.57,,20,26:28,11/13/2024  15:57:05,Flex2admin,
11/13/2024  16:02:04,E39D02SF-11,Default,0.51,2.00,4.69,1.14,2.26,100.7,8.35,0.23,,,,291,,,,37.0,0.0,20.9,1:1,,,,,,,7.50,,21,31:26,11/13/2024  16:02:04,Flex2admin,
11/13/2024  16:05:15,E39D02SF-12,Default,0.55,2.05,4.79,1.14,2.29,101.1,8.37,0.23,,,,287,,,,37.0,0.0,20.9,1:1,,,,,,,7.35,,22,34:36,11/13/2024  16:05:15,Flex2admin,
11/13/2024  16:08:00,E39D02SF-13,Default,0.54,2.03,4.75,1.13,2.26,102.3,7.72,0.23,,,,289,,,,37.0,0.0,20.9,1:1,,,,,,,7.23,,23,37:21,11/13/2024  16:08:00,Flex2admin,
11/13/2024  16:10:46,E39D02SF-14,Default,0.52,2.09,5.36,0.83,2.02,98.6,8.68,0.21,,,,290,,,,37.0,0.0,20.9,1:1,,,,,,,7.47,,24,40:06,11/13/2024  16:10:46,Flex2admin,
11/13/2024  16:13:37,E39D02SF-15,Default,0.53,2.10,5.43,0.82,2.00,98.9,8.86,0.21,,,,292,,,,37.0,0.0,20.9,1:1,,,,,,,7.55,,1,42:56,11/13/2024  16:13:37,Flex2admin,
11/13/2024  16:16:32,E39D02SF-16,Default,0.56,2.08,5.42,0.81,2.00,98.3,8.66,0.21,,,,292,,,,37.0,0.0,20.9,1:1,,,,,,,7.46,,2,45:26,11/13/2024  16:16:32,Flex2admin,
11/13/2024  16:19:28,E39D02SF-17,Default,0.54,2.11,5.43,0.84,2.01,99.9,8.03,0.21,,,,288,,,,37.0,0.0,20.9,1:1,,,,,,,7.54,,3,48:20,11/13/2024  16:19:28,Flex2admin,
11/14/2024  10:41:31,pH 7 buffer ,Default,0.07,0.00,0.00,0.02,0.33,55.9,21.78,0.04,6.748,198.0,,115,,,,19.0,0.0,20.9,1:1,6.937,,123.9,83.0,,,7.52,3.76,6,1:04,11/14/2024  10:41:31,Flex2admin,
11/14/2024  14:39:45,E38D03BRX01,Default,0.72,4.95,7.68,0.70,2.25,108.4,9.56,0.22,7.225,113.0,,333,,,,19.0,0.0,20.9,1:1,7.469,,42.2,28.2,,,7.33,3.75,,,11/14/2024  14:39:45,Flex2admin,
11/14/2024  14:43:03,E38D03BRX02,Default,0.65,5.24,7.28,1.41,2.39,102.4,8.85,0.22,6.940,82.8,,338,,,,19.0,0.0,20.9,1:1,7.151,,25.7,17.2,,,7.19,3.54,,,11/14/2024  14:43:03,Flex2admin,
11/14/2024  14:46:27,E38D03BRX03,Default,0.61,4.45,7.33,0.67,2.16,100.1,8.32,0.22,7.032,79.8,,323,,,,19.0,0.0,20.9,1:1,7.254,,24.5,16.4,,,7.25,3.53,,,11/14/2024  14:46:27,Flex2admin,
11/14/2024  14:49:53,E38D03BRX04,Default,0.71,4.81,6.86,1.26,2.51,106.2,8.29,0.20,7.195,84.1,,335,,,,19.0,0.0,20.9,1:1,7.435,,26.3,17.6,,,7.33,3.43,,,11/14/2024  14:49:53,Flex2admin,
11/14/2024  15:21:59,E39D03SF-1,Default,0.75,4.76,6.66,1.28,2.53,103.8,12.95,0.22,,,,344,,,,37.0,0.0,20.9,1:1,,,,,,,7.51,,9,0:40,11/14/2024  15:21:59,Flex2admin,
11/14/2024  15:25:10,E39D03SF-2,Default,0.68,4.49,6.17,1.26,2.37,104.5,8.18,0.23,,,,337,,,,37.0,0.0,20.9,1:1,,,,,,,7.47,,10,3:25,11/14/2024  15:25:10,Flex2admin,
11/14/2024  15:27:57,E39D03SF-3,Default,0.50,1.94,3.77,1.30,2.41,100.4,6.63,0.22,,,,279,,,,37.0,0.0,20.9,1:1,,,,,,,7.46,,11,6:10,11/14/2024  15:27:57,Flex2admin,
11/14/2024  15:30:48,E39D03SF-4,Default,0.51,1.94,3.74,1.31,2.45,101.2,7.57,0.23,,,,281,,,,37.0,0.0,20.9,1:1,,,,,,,7.53,,12,9:00,11/14/2024  15:30:48,Flex2admin,
11/14/2024  15:33:53,E39D03SF-5,Default,0.78,4.88,7.09,1.23,2.44,103.3,9.90,0.21,,,,331,,,,37.0,0.0,20.9,1:1,,,,,,,7.40,,13,12:04,11/14/2024  15:33:53,Flex2admin,
11/14/2024  15:36:39,E39D03SF-6,Default,0.69,4.34,6.48,1.28,2.41,103.3,9.26,0.21,,,,320,,,,37.0,0.0,20.9,1:1,,,,,,,7.26,,14,14:49,11/14/2024  15:36:39,Flex2admin,
11/14/2024  15:39:26,E39D03SF-7,Default,0.69,4.44,6.27,1.28,2.47,107.4,9.05,0.23,,,,327,,,,37.0,0.0,20.9,1:1,,,,,,,7.35,,15,17:35,11/14/2024  15:39:26,Flex2admin,
11/14/2024  15:42:12,E39D03SF-8,Default,0.80,5.49,7.37,1.31,2.44,108.0,10.47,0.23,,,,353,,,,37.0,0.0,20.9,1:1,,,,,,,7.49,,16,20:21,11/14/2024  15:42:12,Flex2admin,
11/14/2024  15:45:08,E39D03SF-9,Default,0.56,2.07,4.38,1.30,2.48,98.6,8.14,0.21,,,,286,,,,37.0,0.0,20.9,1:1,,,,,,,7.39,,17,23:15,11/14/2024  15:45:08,Flex2admin,
11/14/2024  15:48:00,E39D03SF-10,Default,0.72,4.28,6.21,1.26,2.53,106.3,10.32,0.22,,,,330,,,,37.0,0.0,20.9,1:1,,,,,,,7.47,,18,26:06,11/14/2024  15:48:00,Flex2admin,
11/14/2024  15:50:52,E39D03SF-11,Default,0.84,5.49,7.44,1.30,2.42,109.2,10.11,0.23,,,,353,,,,37.0,0.0,20.9,1:1,,,,,,,7.53,,19,28:57,11/14/2024  15:50:52,Flex2admin,
11/14/2024  15:53:42,E39D03SF-12,Default,0.79,5.20,7.13,1.35,2.42,108.9,9.95,0.23,,,,350,,,,37.0,0.0,20.9,1:1,,,,,,,7.29,,20,31:47,11/14/2024  15:53:42,Flex2admin,
11/14/2024  15:56:40,E39D03SF-13,Default,0.50,1.92,3.69,1.44,2.40,102.3,7.39,0.23,,,,287,,,,37.0,0.0,20.9,1:1,,,,,,,7.22,,21,34:44,11/14/2024  15:56:40,Flex2admin,
11/14/2024  15:59:36,E39D03SF-14,Default,0.59,2.06,4.42,1.28,2.50,99.9,7.56,0.21,,,,289,,,,37.0,0.0,20.9,1:1,,,,,,,7.40,,22,37:39,11/14/2024  15:59:36,Flex2admin,
11/14/2024  16:04:29,E39D03SF-15,Default,0.88,4.68,6.96,1.17,2.50,105.7,9.93,0.22,,,,336,,,,37.0,0.0,20.9,1:1,,,,,,,7.48,,23,42:32,11/14/2024  16:04:29,Flex2admin,
11/14/2024  16:07:40,E39D03SF-16,Default,1.10,5.87,8.12,1.19,2.52,108.8,10.21,0.22,,,,355,,,,37.0,0.0,20.9,1:1,,,,,,,7.50,,24,45:29,11/14/2024  16:07:40,Flex2admin,
11/14/2024  16:11:16,E39D03SF-17,Default,0.59,2.23,4.63,1.28,2.59,101.9,9.25,0.22,,,,297,,,,37.0,0.0,20.9,1:1,,,,,,,7.39,,1,49:02,11/14/2024  16:11:16,Flex2admin,
11/15/2024  10:56:04,E38D04BRX01,Default,0.81,4.96,7.17,0.97,3.21,105.2,9.17,0.21,6.932,50.0,,336,,,,37.0,0.0,20.9,1:1,6.932,,50.0,33.2,,,7.25,3.42,,,11/15/2024  10:56:04,Flex2admin,
11/15/2024  11:00:30,E38D04BRX02,Default,0.69,5.35,6.54,1.90,3.45,104.3,8.72,0.22,6.784,55.3,,337,,,,37.0,0.0,20.9,1:1,6.784,,55.3,36.8,,,7.17,3.33,,,11/15/2024  11:00:30,Flex2admin,
11/15/2024  11:03:37,E38D04BRX03,Default,0.63,4.40,6.73,0.85,3.34,101.5,8.13,0.22,6.856,10.7,,324,,,,37.0,0.0,20.9,1:1,6.856,,10.7,7.1,,,7.39,3.55,,,11/15/2024  11:03:37,Flex2admin,
11/15/2024  11:07:06,E38D04BRX04,Default,0.72,4.78,5.81,1.67,3.78,108.4,8.01,0.19,6.929,33.0,,333,,,,37.0,0.0,20.9,1:1,6.929,,33.0,21.9,,,7.15,3.31,,,11/15/2024  11:07:06,Flex2admin,
11/15/2024  11:45:47,FEEDI JS 111124,Default,0.39,1.92,12.63,0.03,0.26,32.2,0.69,0.03,8.390,181.0,,178,,,,37.0,0.0,20.9,1:1,8.390,,181.0,100.0,,,7.50,3.74,,,11/15/2024  11:45:47,Flex2admin,
11/15/2024  13:55:11,E39D04SF-1,Default,0.70,4.67,5.57,1.59,3.51,104.0,8.48,0.21,,,,341,,,,37.0,0.0,20.9,1:1,,,,,,,7.34,,4,0:24,11/15/2024  13:55:11,Flex2admin,
11/15/2024  13:58:23,E39D04SF-2,Default,0.54,4.19,4.65,1.43,3.01,106.4,7.59,0.23,,,,356,,,,37.0,0.0,20.9,1:1,,,,,,,7.23,,5,3:26,11/15/2024  13:58:23,Flex2admin,
11/15/2024  14:03:04,E39D04SF-3,Default,0.21,1.75,2.53,1.01,1.48,101.1,5.65,0.23,,,,286,,,,37.0,0.0,20.9,1:1,,,,,,,7.32,,6,8:06,11/15/2024  14:03:04,Flex2admin,
11/15/2024  14:06:10,E39D04SF-4,Default,0.21,1.76,2.51,1.00,1.50,100.5,5.75,0.23,,,,273,,,,37.0,0.0,20.9,1:1,,,,,,,7.44,,7,11:10,11/15/2024  14:06:10,Flex2admin,
11/15/2024  14:09:06,E39D04SF-5,Default,0.95,4.90,5.95,1.53,3.70,104.5,8.40,0.22,,,,345,,,,37.0,0.0,20.9,1:1,,,,,,,7.53,,8,14:05,11/15/2024  14:09:06,Flex2admin,
11/15/2024  14:11:52,E39D04SF-6,Default,1.15,5.70,6.77,1.65,4.09,108.1,8.95,0.22,,,,350,,,,37.0,0.0,20.9,1:1,,,,,,,7.45,,9,16:49,11/15/2024  14:11:52,Flex2admin,
11/15/2024  14:14:37,E39D04SF-7,Default,0.67,4.16,4.67,1.42,3.06,108.5,7.62,0.23,,,,351,,,,37.0,0.0,20.9,1:1,,,,,,,7.23,,10,19:34,11/15/2024  14:14:37,Flex2admin,
11/15/2024  14:17:33,E39D04SF-8,Default,0.94,5.32,5.75,1.66,3.83,110.2,8.21,0.23,,,,364,,,,37.0,0.0,20.9,1:1,,,,,,,7.45,,11,22:29,11/15/2024  14:17:33,Flex2admin,
11/15/2024  14:20:19,E39D04SF-9,Default,0.40,2.05,3.31,1.41,2.14,99.4,6.55,0.22,,,,310,,,,37.0,0.0,20.9,1:1,,,,,,,7.26,,12,25:14,11/15/2024  14:20:19,Flex2admin,
11/15/2024  14:23:16,E39D04SF-10,Default,0.73,4.08,4.78,1.40,3.07,107.9,7.82,0.23,,,,327,,,,37.0,0.0,20.9,1:1,,,,,,,7.45,,13,28:11,11/15/2024  14:23:16,Flex2admin,
11/15/2024  14:26:17,E39D04SF-11,Default,0.97,5.30,5.76,1.62,3.90,111.6,8.73,0.23,,,,366,,,,37.0,0.0,20.9,1:1,,,,,,,7.33,,14,31:10,11/15/2024  14:26:17,Flex2admin,
11/15/2024  14:29:13,E39D04SF-12,Default,0.92,5.02,5.45,1.68,3.68,110.6,9.22,0.26,,,,349,,,,37.0,0.0,20.9,1:1,,,,,,,7.47,,15,34:06,11/15/2024  14:29:13,Flex2admin,
11/15/2024  14:31:58,E39D04SF-13,Default,0.19,1.75,2.42,1.19,1.62,103.5,6.48,0.23,,,,302,,,,37.0,0.0,20.9,1:1,,,,,,,7.44,,16,36:51,11/15/2024  14:31:58,Flex2admin,
11/15/2024  14:34:44,E39D04SF-14,Default,0.45,2.04,3.44,1.29,2.22,99.7,7.13,0.21,,,,316,,,,37.0,0.0,20.9,1:1,,,,,,,7.31,,17,39:35,11/15/2024  14:34:44,Flex2admin,
11/15/2024  14:37:29,E39D04SF-15,Default,0.96,4.45,5.88,1.44,3.75,106.4,9.25,0.22,,,,344,,,,37.0,0.0,20.9,1:1,,,,,,,7.28,,18,42:20,11/15/2024  14:37:29,Flex2admin,
11/15/2024  14:40:20,E39D04SF-16,Default,1.19,5.47,7.02,1.50,4.27,108.5,9.55,0.23,7.043,117.3,,369,,,,37.0,0.0,20.9,1:1,7.043,,117.3,78.0,,,7.21,3.81,19,44:47,11/15/2024  14:40:20,Flex2admin,
11/15/2024  14:43:16,E39D04SF-17,Default,0.48,2.09,3.71,1.24,2.40,102.7,7.94,0.21,7.085,117.5,,312,,,,37.0,0.0,20.9,1:1,7.085,,117.5,78.2,,,7.50,3.86,20,47:42,11/15/2024  14:43:16,Flex2admin,
11/16/2024  17:07:48,E39D05SF-18,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,1:1,,,,,,,,,,,11/16/2024  17:07:48,Flex2admin,
11/16/2024  17:09:34,E38D05BRX,Default,,,,,3.81,96.1,8.22,0.19,6.944,57.1,36.5,322,,,,37.0,0.0,20.9,1:1,6.944,36.5,57.1,38.4,5.1,8.0,7.96,3.58,,,11/16/2024  17:09:34,Flex2admin,
11/16/2024  17:37:35,E38D05BRX02,Default,,,8.04,1.99,3.75,114.3,9.71,0.25,7.052,61.5,4.1,370,,,,37.0,0.0,20.9,1:1,7.052,4.1,61.5,41.5,0.6,1.1,7.60,3.21,,,11/16/2024  17:37:35,Flex2admin,
11/16/2024  17:40:31,E38D05BRX04,Default,,,6.07,2.22,3.85,119.1,8.84,0.21,6.945,32.1,30.6,359,,,,37.0,0.0,20.9,1:1,6.945,30.6,32.1,21.6,4.3,6.7,7.75,3.58,,,11/16/2024  17:40:31,Flex2admin,
11/18/2024  14:42:17,E38D07BRX01,Default,,9.45,8.94,1.21,3.94,121.8,11.80,0.23,,,,411,,,,37.0,0.0,20.9,1:1,,,,,,,7.73,,,,11/18/2024  14:42:17,Flex2admin,
11/18/2024  14:46:00,E38D07BRX02,Default,,10.00,8.28,1.41,3.07,124.2,11.21,0.23,7.239,50.5,17.4,415,,,,37.0,0.0,20.9,1:1,7.239,17.4,50.5,33.8,2.4,7.5,7.71,3.20,,,11/18/2024  14:46:00,Flex2admin,
11/18/2024  14:49:29,E38D07BRX04,Default,,8.88,6.71,3.01,4.60,128.6,10.80,0.21,6.943,16.4,23.6,421,,,,37.0,0.0,20.9,1:1,6.943,23.6,16.4,10.9,3.3,5.2,7.31,3.25,,,11/18/2024  14:49:29,Flex2admin,
11/18/2024  14:52:56,E38D07BRX01 DO,Default,,,,,,,,,7.074,32.1,51.4,,,,,37.0,0.0,20.9,,7.074,51.4,32.1,21.5,7.2,15.2,,3.32,,,11/18/2024  14:52:56,Flex2admin,
11/18/2024  15:38:40,E39D07SF-1,Default,,6.90,5.65,0.16,2.68,122.5,9.25,0.21,7.424,0.0,44.0,361,,,,37.0,0.0,20.9,1:1,7.424,44.0,0.0,0.0,6.1,29.0,7.34,3.87,23,0:27,11/18/2024  15:38:40,Flex2admin,
11/18/2024  15:41:46,E39D07SF-2,Default,1.06,5.39,4.26,0.14,5.08,123.8,9.06,0.21,7.446,0.0,46.9,352,,,,37.0,0.0,20.9,1:1,7.446,46.9,0.0,0.0,6.6,32.6,7.43,3.87,24,3:19,11/18/2024  15:41:46,Flex2admin,
11/18/2024  15:44:38,E39D07SF-3,Default,,6.36,4.47,0.10,3.37,121.4,9.00,0.22,7.457,19.8,33.4,347,,,,37.0,0.0,20.9,1:1,7.457,33.4,19.8,13.2,4.7,23.8,7.37,3.79,1,6:08,11/18/2024  15:44:38,Flex2admin,
11/18/2024  15:47:35,E39D07SF-4,Default,,6.07,4.19,0.10,3.35,121.0,8.85,0.21,7.452,5.7,34.2,343,,,,37.0,0.0,20.9,1:1,7.452,34.2,5.7,3.8,4.8,24.1,7.27,3.79,2,8:59,11/18/2024  15:47:35,Flex2admin,
11/18/2024  15:50:32,E39D07SF-5,Default,,6.74,5.81,0.27,2.34,123.7,9.39,0.20,7.403,3.4,39.1,372,,,,37.0,0.0,20.9,1:1,7.403,39.1,3.4,2.3,5.5,24.7,7.19,3.78,3,11:56,11/18/2024  15:50:32,Flex2admin,
11/18/2024  15:53:29,E39D07SF-6,Default,,8.08,7.11,0.66,2.64,127.8,10.59,0.21,7.318,11.6,41.3,408,,,,37.0,0.0,20.9,1:1,7.318,41.3,11.6,7.8,5.8,21.4,7.43,3.80,4,14:53,11/18/2024  15:53:29,Flex2admin,
11/18/2024  15:56:31,E39D07SF-7,Default,1.20,5.47,4.40,0.15,5.26,129.2,9.32,0.21,7.693,9.6,25.3,364,,,,37.0,0.0,20.9,1:1,7.693,25.3,9.6,6.4,3.5,31.0,7.39,3.84,5,17:54,11/18/2024  15:56:31,Flex2admin,
11/18/2024  15:59:28,E39D07SF-8,Default,,6.48,5.58,0.16,4.06,131.9,10.13,0.21,7.457,9.1,41.5,388,,,,37.0,0.0,20.9,1:1,7.457,41.5,9.1,6.1,5.8,29.6,7.46,3.85,6,20:51,11/18/2024  15:59:28,Flex2admin,
11/18/2024  16:04:13,E39D07SF-9,Default,,7.08,4.84,0.16,1.30,124.0,8.53,0.21,7.417,39.9,27.8,352,,,,37.0,0.0,20.9,1:1,7.417,27.8,39.9,26.7,3.9,18.1,7.48,3.81,7,25:36,11/18/2024  16:04:13,Flex2admin,
